epoch,train_loss,train_acc,val_loss,val_acc
1,0.25193659104905586,0.89456745623069,1.1446327659850093,0.8083599008147361
2,0.19406481119434815,0.9205715756951597,1.0467842653172048,0.7782500885582714
3,0.17428374751235995,0.9288105046343975,1.062394261887687,0.8111937654976975
4,0.1548371850584857,0.9383367662203913,1.3609245625569337,0.8104852993269571
5,0.14610711913306484,0.9418125643666323,1.2931199371383584,0.798087141339001
6,0.13705581580082493,0.9423274974253347,1.3555990252481345,0.8055260361317748
7,0.1236638478190474,0.9528836251287333,1.3161314065922631,0.8115479985830677
8,0.10832356092981403,0.9576467559217302,1.4546141326087245,0.801983705278073
9,0.10918039844652405,0.9566168898043255,1.1124314428928987,0.8026921714488133
10,0.09142297484464061,0.962409886714727,1.4725931864721735,0.8111937654976975
11,0.07837940405682113,0.9696189495365602,1.430680483135212,0.8136733970952887
12,0.08448419998563926,0.96846035015448,1.6056567560991895,0.7995040736804817
13,0.06797286496717334,0.974124613800206,1.287926252114511,0.7956075097414098
14,0.06173872683738214,0.9773429454170958,1.6013773335684143,0.8026921714488133
15,0.05917717163843303,0.978244078269825,1.4833376318801246,0.8002125398512221
16,0.050066901691234934,0.9794026776519053,1.447219689442221,0.793836344314559
17,0.05737400978772942,0.981076210092688,1.4294803054359806,0.8037548707049238
18,0.04639390428635905,0.9830072090628218,1.3623805547473529,0.8080056677293659
19,0.04665473711232815,0.9835221421215242,1.467908404249562,0.8065887353878852
20,0.03686940475116675,0.9864830072090628,1.5268593797200976,0.8072972015586256
21,0.038744345521717405,0.9878990731204943,1.4266303482574645,0.8034006376195537
22,0.042670254680701174,0.9857106076210093,1.4157676869726057,0.8080056677293659
23,0.03770118868916011,0.9871266735324408,1.66217824671896,0.7984413744243712
24,0.03697540788277293,0.9868692070030896,1.521066175949373,0.7984413744243712
25,0.037572562539169276,0.9869979402677652,1.6207282002510113,0.7952532766560396
26,0.041435253776678956,0.9849382080329557,1.7796166480848452,0.7952532766560396
27,0.03261891294373381,0.9881565396498455,1.6055628229628307,0.8065887353878852
28,0.035286575801340606,0.986740473738414,1.569399568204924,0.8030464045341835
29,0.024886712234325314,0.9927909371781668,1.6857889326000794,0.8009210060219625
30,0.03199406291802254,0.9886714727085479,1.627040532004286,0.8023379383634431
