epoch,train_loss,train_acc,val_loss,val_acc
1,0.25164151073545676,0.8990731204943357,1.0755631480705135,0.8065887353878852
2,0.18894264130372587,0.9226313079299691,1.0105903154879734,0.8030464045341835
3,0.17354834988237533,0.9266220391349125,1.0963422512513359,0.8196953595465817
4,0.1489259515352831,0.9407826982492276,1.2999897733366357,0.8126106978391782
5,0.14369229139831113,0.9432286302780638,1.23746306995498,0.8080056677293659
6,0.128539780878014,0.9490216271884655,1.277737336439449,0.7995040736804817
7,0.11905590478948536,0.9521112255406797,1.5643133342809932,0.8129649309245484
8,0.10482969453479676,0.9581616889804325,1.2714051967680557,0.7998583067658519
9,0.09502972230069669,0.964984552008239,1.359166021826979,0.8087141339001063
10,0.08291251805489144,0.9679454170957775,1.5649927899941176,0.8101310662415869
11,0.07991752527696373,0.9689752832131823,1.2894017873110868,0.8037548707049238
12,0.07943966783425865,0.9682028836251287,1.331680886004367,0.7987956075097414
13,0.06227591797617388,0.9748970133882595,1.414430083278098,0.8126106978391782
14,0.06396037115821908,0.9772142121524202,1.4189180123148466,0.7941905773999292
15,0.05605966000540526,0.9778578784757982,1.3682553870311476,0.8002125398512221
16,0.05556521168694161,0.9795314109165808,1.4768247669721053,0.7987956075097414
17,0.04865782506846421,0.9833934088568486,1.5050064766475368,0.7941905773999292
18,0.05273428810309584,0.9788877445932029,1.6183674371686427,0.8016294721927028
19,0.04830973411178414,0.9827497425334707,1.3255723445663732,0.7952532766560396
20,0.043869626113663435,0.984552008238929,1.4563912146226108,0.8009210060219625
21,0.04076139017976494,0.9853244078269825,1.601778490230797,0.8048175699610344
22,0.044392855959511854,0.985453141091658,1.5431141380676827,0.7952532766560396
23,0.03673171210721381,0.9863542739443872,1.465704621117677,0.8005667729365923
24,0.03392539070904769,0.9884140061791967,1.5676464460156543,0.8083599008147361
25,0.03126075487916217,0.9891864057672503,1.6839897042203964,0.7952532766560396
26,0.03275857343392142,0.98802780638517,1.589097510057073,0.7956075097414098
27,0.040951807901752874,0.9858393408856848,1.4002668901420936,0.8044633368756642
28,0.039828198947526525,0.9837796086508754,1.3776200629872697,0.8072972015586256
29,0.03170907825047398,0.9891864057672503,1.7944319400665905,0.7970244420828906
30,0.03506662503034011,0.9875128733264675,1.7904475735607632,0.8030464045341835
